#########################################################################################################
# Mass-radius curves for irradiated ocean planets (0.2 M_Earth to 20 M_Earth)
# 
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# T_b : temperature at the boundary between the interior and the atmosphere model (in K)
# M_b : mass of the interior part of the planet (in units of M_Earth), obtained by integrating the density profile
# M_a : mass of the atmosphere of the planet (in units of M_Earth), obtained by integrating the density profile
#       the mass of the planet is thus M_p = M_b + M_a
# R_b : radius of the interior part of the planet (in units of R_Earth)
# R_a : thickness of the atmosphere (in units of R_Earth)
#       the radius of the planet is thus R_p = R_b + R_a
# errcode : integer indicating if the run succeeded or failed, based on the success or fail to interpolate the atmosphere properties in the final iteration of the interior model
#           value 0 : the interpolation succeeded
#           value 1 : atmosphere properties are extrapolated beyond the range of parameters
#           value 2 : extrapolation yields to unphysical results
#
# 2024 update:
# Added case x_H2O = 0 from Zeng+2016 models
#
#########################################################################################################

#  x_core'     x_H2O     T_irr       T_b              M_b              M_a              R_b              R_a   errcode
   0.00000   0.80000   400.000  2716.423  8.565091012e-01  3.751250245e-03  1.853922311e+00  5.711423283e-01         1
   0.00000   0.80000   400.000  2656.557  1.091732685e+00  3.494356468e-03  1.897977836e+00  4.471651729e-01         1
   0.00000   0.80000   400.000  2597.780  1.390951649e+00  3.007418577e-03  1.952832909e+00  3.463547721e-01         0
   0.00000   0.80000   400.000  2557.179  1.771919366e+00  2.659807010e-03  2.021185432e+00  2.767255745e-01         0
   0.00000   0.80000   400.000  2526.136  2.258437865e+00  2.400329931e-03  2.101281574e+00  2.256017018e-01         0
   0.00000   0.80000   400.000  2485.211  2.877904102e+00  2.182691690e-03  2.187254457e+00  1.846345993e-01         0
   0.00000   0.80000   400.000  2444.593  3.668256724e+00  2.004269251e-03  2.281498413e+00  1.523366942e-01         0
   0.00000   0.80000   400.000  2412.977  4.672764188e+00  1.860034351e-03  2.385446232e+00  1.272351203e-01         0
   0.00000   0.80000   400.000  2386.178  5.952470900e+00  1.745093914e-03  2.495965065e+00  1.070869347e-01         0
   0.00000   0.80000   400.000  2358.427  7.587502943e+00  1.650580631e-03  2.615837698e+00  9.052648282e-02         0
   0.00000   0.80000   400.000  2318.535  9.661376511e+00  1.554453583e-03  2.738211156e+00  7.610443549e-02         0
   0.00000   0.80000   400.000  2285.871  1.232172393e+01  1.469271208e-03  2.870106974e+00  6.430837555e-02         0
   0.00000   0.80000   400.000  2258.300  1.570052053e+01  1.390574741e-03  3.008933523e+00  5.456959007e-02         0
   0.00000   0.80000   400.000  2234.338  1.998368290e+01  1.315085116e-03  3.153466607e+00  4.642186662e-02         0

   0.00000   0.90000   400.000  2577.007  2.084767959e-01  4.355528553e-28  1.582604986e+00  1.342416250e+00         2
